observation_date,GGGDTAJPA188N
1980-01-01,47.776
1981-01-01,52.815
1982-01-01,57.730
1983-01-01,63.511
1984-01-01,65.602
1985-01-01,68.310
1986-01-01,74.079
1987-01-01,75.833
1988-01-01,71.944
1989-01-01,65.674
1990-01-01,63.233
1991-01-01,62.385
1992-01-01,66.766
1993-01-01,72.838
1994-01-01,84.361
1995-01-01,92.526
1996-01-01,98.054
1997-01-01,104.971
1998-01-01,116.020
1999-01-01,129.501
2000-01-01,135.609
2001-01-01,145.124
2002-01-01,154.096
2003-01-01,160.021
2004-01-01,169.490
2005-01-01,174.595
2006-01-01,174.143
2007-01-01,172.951
2008-01-01,180.851
2009-01-01,198.807
2010-01-01,205.879
2011-01-01,219.162
2012-01-01,226.093
2013-01-01,229.451
2014-01-01,233.281
2015-01-01,228.278
2016-01-01,232.421
2017-01-01,231.321
2018-01-01,232.380
2019-01-01,236.378
2020-01-01,258.374
2021-01-01,253.653
2022-01-01,256.297
